# Frequency(Hz) Real(n) Imag(n)
2.399393876819376526e+11 1.981495309963829721e+00 2.428725116309701955e-03
2.415179362851082764e+11 1.981476821290393930e+00 3.109810180688620494e-03
2.430964848882789307e+11 1.981796668568591491e+00 3.864674666293903098e-03
2.446750334914495544e+11 1.982541137426782729e+00 4.446965675876569761e-03
2.462535820946202087e+11 1.983529063137174475e+00 4.555803100073662661e-03
2.478321306977908630e+11 1.984382585021030598e+00 4.171583136971674863e-03
2.494106793009614868e+11 1.984907004684834941e+00 3.542398110568684838e-03
2.509892279041321411e+11 1.985135978615007346e+00 2.879040046191945913e-03
2.525677765073027954e+11 1.985162180687203071e+00 2.271797285775134772e-03
2.541463251104734192e+11 1.985058329777553920e+00 1.743179962986032578e-03
2.557248737136440735e+11 1.984869526940162610e+00 1.291434588337110742e-03
2.573034223168146973e+11 1.984622063392198932e+00 9.093166698697462266e-04
2.588819709199853516e+11 1.984331475228557240e+00 5.902972008967642204e-04
2.604605195231560059e+11 1.984007575827271941e+00 3.299872980759947240e-04
2.620390681263266296e+11 1.983657243919993984e+00 1.260453133407719254e-04
2.636176167294972839e+11 1.983285872885125478e+00 -2.222679512794443004e-05
2.651961653326679077e+11 1.982898094114911691e+00 -1.141771047517495800e-04
2.667747139358385620e+11 1.982498162438663503e+00 -1.478407478224716117e-04
2.683532625390092163e+11 1.982090283307151646e+00 -1.196573559563642611e-04
2.699318111421798401e+11 1.981679158226402393e+00 -2.382958762063607438e-05
2.715103597453504944e+11 1.981271132625718634e+00 1.486794039939571882e-04
2.730889083485211182e+11 1.980876582530144647e+00 4.113604266720781400e-04
2.746674569516917725e+11 1.980514605189780175e+00 7.829366209237235974e-04
2.762460055548624268e+11 1.980221544468663275e+00 1.285642652672681126e-03
2.778245541580330811e+11 1.980064335470090642e+00 1.935413676817112315e-03
2.794031027612036743e+11 1.980153456727556494e+00 2.711517052433449603e-03
2.809816513643743286e+11 1.980624272932292040e+00 3.490766254120558111e-03
2.825601999675449829e+11 1.981507818951779409e+00 3.991883957923738485e-03
2.841387485707156372e+11 1.982536914260883520e+00 3.947314938202455339e-03
2.857172971738862915e+11 1.983322635357615660e+00 3.437490848069269401e-03
2.872958457770568848e+11 1.983736514873563284e+00 2.755592764828230547e-03
2.888743943802275391e+11 1.983859134699969884e+00 2.096999194035415771e-03
2.904529429833981934e+11 1.983798086399188199e+00 1.529406435576114538e-03
2.920314915865688477e+11 1.983628045687157337e+00 1.060471467333430748e-03
2.936100401897395020e+11 1.983392535599975526e+00 6.797038749486454708e-04
2.951885887929100952e+11 1.983115592588189147e+00 3.746792133346811332e-04
2.967671373960807495e+11 1.982810616281428961e+00 1.357657243334415458e-04
2.983456859992514038e+11 1.982485645995845758e+00 -4.324776980851696126e-05
