# Frequency(Hz) n_real k_imag
3.946372e+11 1.995141e+00 -9.179188e-03
3.962157e+11 1.992716e+00 -9.469683e-03
3.977942e+11 1.990383e+00 -9.227484e-03
3.993728e+11 1.988244e+00 -8.515396e-03
4.009513e+11 1.986372e+00 -7.414527e-03
4.025299e+11 1.984808e+00 -6.008512e-03
4.041084e+11 1.983564e+00 -4.369968e-03
4.056870e+11 1.982641e+00 -2.552262e-03
4.072655e+11 1.982032e+00 -5.860502e-04
4.088441e+11 1.981738e+00 1.520892e-03
4.104226e+11 1.981781e+00 3.784627e-03
4.120012e+11 1.982218e+00 6.133591e-03
4.135797e+11 1.983185e+00 8.988377e-03
4.151583e+11 1.985007e+00 1.213737e-02
4.167368e+11 1.988675e+00 1.581818e-02
4.183154e+11 1.997023e+00 1.694147e-02
4.198939e+11 2.002058e+00 1.162318e-02
4.214725e+11 2.003597e+00 6.982604e-03
4.230510e+11 2.003823e+00 3.161123e-03
4.246296e+11 2.003289e+00 -5.618986e-05
4.262081e+11 2.002214e+00 -2.767032e-03
4.277867e+11 2.000714e+00 -4.999747e-03
4.293652e+11 1.998894e+00 -6.746764e-03
4.309438e+11 1.996841e+00 -7.987580e-03
4.325223e+11 1.994666e+00 -8.708417e-03
4.341009e+11 1.992481e+00 -8.916986e-03
4.356794e+11 1.990394e+00 -8.649748e-03
4.372580e+11 1.988495e+00 -7.968006e-03
4.388365e+11 1.986843e+00 -6.946904e-03
4.404151e+11 1.985471e+00 -5.661461e-03
4.419936e+11 1.984389e+00 -4.175425e-03
4.435722e+11 1.983595e+00 -2.534920e-03
4.451507e+11 1.983082e+00 -7.661918e-04
4.467293e+11 1.982853e+00 1.124401e-03
4.483078e+11 1.982929e+00 3.150379e-03
4.498864e+11 1.983363e+00 5.347610e-03
4.514649e+11 1.984279e+00 7.780084e-03
4.530434e+11 1.985973e+00 1.054690e-02
4.546220e+11 1.989305e+00 1.368723e-02
4.562005e+11 1.996427e+00 1.462092e-02
4.577791e+11 2.001057e+00 1.007771e-02
4.593576e+11 2.002517e+00 5.887472e-03
4.609362e+11 2.002726e+00 2.394602e-03
4.625147e+11 2.002213e+00 -5.363568e-04
4.640933e+11 2.001192e+00 -2.988033e-03
4.656718e+11 1.999784e+00 -4.981263e-03
4.672504e+11 1.998089e+00 -6.509188e-03
4.688289e+11 1.996206e+00 -7.558734e-03
4.704075e+11 1.994238e+00 -8.127560e-03
4.719860e+11 1.992291e+00 -8.235369e-03
4.735646e+11 1.990458e+00 -7.926466e-03
4.751431e+11 1.988809e+00 -7.263549e-03
4.767217e+11 1.987391e+00 -6.316472e-03
4.783002e+11 1.986223e+00 -5.150621e-03
4.798788e+11 1.985310e+00 -3.818870e-03
4.814573e+11 1.984647e+00 -2.357689e-03
4.830359e+11 1.984230e+00 -7.864585e-04
4.846144e+11 1.984063e+00 8.920039e-04
4.861930e+11 1.984167e+00 2.691331e-03
4.877715e+11 1.984596e+00 4.642992e-03
4.893501e+11 1.985467e+00 6.794061e-03
4.909286e+11 1.987053e+00 9.234510e-03
4.925072e+11 1.990122e+00 1.191337e-02
4.940857e+11 1.996263e+00 1.256564e-02
4.956643e+11 2.000396e+00 8.665010e-03
4.972428e+11 2.001765e+00 4.883137e-03
4.988214e+11 2.001961e+00 1.719506e-03
5.003999e+11 2.001482e+00 -9.480442e-04
5.019785e+11 2.000539e+00 -3.172779e-03
5.035570e+11 1.999235e+00 -4.971150e-03
5.051356e+11 1.997682e+00 -6.338822e-03
5.067141e+11 1.995968e+00 -7.268258e-03
5.082927e+11 1.994190e+00 -7.763151e-03
5.098712e+11 1.992440e+00 -7.846749e-03
5.114497e+11 1.990798e+00 -7.562431e-03
5.130283e+11 1.989324e+00 -6.967587e-03
5.146068e+11 1.988055e+00 -6.123752e-03
5.161854e+11 1.987007e+00 -5.087172e-03
5.177639e+11 1.986184e+00 -3.902783e-03
5.193425e+11 1.985582e+00 -2.601263e-03
5.209210e+11 1.985200e+00 -1.198816e-03
5.224996e+11 1.985043e+00 3.020629e-04
5.240781e+11 1.985133e+00 1.912379e-03
5.256567e+11 1.985520e+00 3.657036e-03
5.272352e+11 1.986313e+00 5.575600e-03
5.288138e+11 1.987754e+00 7.711540e-03
5.303923e+11 1.990482e+00 9.973744e-03
5.319709e+11 1.995613e+00 1.057109e-02
5.335494e+11 1.999433e+00 7.386502e-03
5.351280e+11 2.000803e+00 4.025299e-03
5.367065e+11 2.001038e+00 1.117458e-03
5.382851e+11 2.000629e+00 -1.332379e-03
5.398636e+11 1.999768e+00 -3.380061e-03
5.414422e+11 1.998571e+00 -5.034280e-03
5.430207e+11 1.997133e+00 -6.286911e-03
5.445993e+11 1.995542e+00 -7.128631e-03
5.461778e+11 1.993893e+00 -7.561770e-03
5.477564e+11 1.992274e+00 -7.608435e-03
5.493349e+11 1.990763e+00 -7.310961e-03
5.509135e+11 1.989417e+00 -6.725616e-03
5.524920e+11 1.988269e+00 -5.912656e-03
5.540706e+11 1.987336e+00 -4.927137e-03
5.556491e+11 1.986617e+00 -3.812753e-03
5.572277e+11 1.986108e+00 -2.599455e-03
5.588062e+11 1.985806e+00 -1.303275e-03
5.603848e+11 1.985713e+00 7.265763e-05
5.619633e+11 1.985851e+00 1.537119e-03
5.635419e+11 1.986263e+00 3.110554e-03
5.651204e+11 1.987049e+00 4.823579e-03
5.666989e+11 1.988431e+00 6.700253e-03
5.682775e+11 1.990961e+00 8.608689e-03
5.698560e+11 1.995433e+00 9.002066e-03
5.714346e+11 1.998848e+00 6.227872e-03
5.730131e+11 2.000115e+00 3.158111e-03
5.745917e+11 2.000312e+00 5.025837e-04
5.761702e+11 1.999957e+00 -1.740038e-03
5.777488e+11 1.999067e+00 -3.594761e-03
5.793273e+11 1.997934e+00 -5.067633e-03
5.809059e+11 1.996595e+00 -6.155790e-03
5.824844e+11 1.995141e+00 -6.859667e-03
5.840630e+11 1.993658e+00 -7.192542e-03
5.856415e+11 1.992223e+00 -7.184851e-03
5.872201e+11 1.990901e+00 -6.881603e-03
5.887986e+11 1.989732e+00 -6.335604e-03
5.903772e+11 1.988741e+00 -5.599207e-03
5.919557e+11 1.987937e+00 -4.717673e-03
5.935343e+11 1.987319e+00 -3.725627e-03
5.951128e+11 1.986883e+00 -2.645909e-03
5.966914e+11 1.986630e+00 -1.490205e-03
5.982699e+11 1.986564e+00 -2.599933e-04
5.998485e+11 1.986708e+00 1.052347e-03
6.014270e+11 1.987105e+00 2.462944e-03
6.030056e+11 1.987852e+00 3.992916e-03
6.045841e+11 1.989151e+00 5.624097e-03
6.061627e+11 1.991472e+00 7.259515e-03
6.077412e+11 1.995351e+00 7.509465e-03
6.093198e+11 1.998398e+00 5.154571e-03
6.108983e+11 1.999597e+00 2.369922e-03
6.124769e+11 1.999809e+00 -6.399314e-05
6.140554e+11 1.999430e+00 -2.129786e-03
6.156340e+11 1.998657e+00 -3.837134e-03
6.172125e+11 1.997604e+00 -5.187239e-03
6.187911e+11 1.996365e+00 -6.176793e-03
6.203696e+11 1.995024e+00 -6.808271e-03
6.219481e+11 1.993665e+00 -7.097492e-03
6.235267e+11 1.992358e+00 -7.076260e-03
6.251052e+11 1.991158e+00 -6.788842e-03
6.266838e+11 1.990104e+00 -6.285079e-03
6.282623e+11 1.989212e+00 -5.612913e-03
6.298409e+11 1.988491e+00 -4.812797e-03
6.314194e+11 1.987937e+00 -3.915027e-03
6.329980e+11 1.987549e+00 -2.939331e-03
6.345765e+11 1.987326e+00 -1.895654e-03
6.361551e+11 1.987275e+00 -7.855024e-04
6.377336e+11 1.987416e+00 3.968880e-04
6.393122e+11 1.987793e+00 1.662821e-03
6.408907e+11 1.988492e+00 3.023650e-03
6.424693e+11 1.989693e+00 4.464801e-03
6.440478e+11 1.991775e+00 5.801818e-03
6.456264e+11 1.995060e+00 5.974968e-03
6.472049e+11 1.997765e+00 4.159586e-03
6.487835e+11 1.998921e+00 1.573512e-03
6.503620e+11 1.999148e+00 -6.366860e-04
6.519406e+11 1.998816e+00 -2.526002e-03
6.535191e+11 1.998104e+00 -4.086043e-03
6.550977e+11 1.997128e+00 -5.311595e-03
6.566762e+11 1.995981e+00 -6.198009e-03
6.582548e+11 1.994746e+00 -6.748911e-03
6.598333e+11 1.993502e+00 -6.982127e-03
6.614119e+11 1.992315e+00 -6.930705e-03
6.629904e+11 1.991235e+00 -6.638780e-03
6.645690e+11 1.990295e+00 -6.154388e-03
6.661475e+11 1.989507e+00 -5.522388e-03
6.677261e+11 1.988878e+00 -4.779823e-03
6.693046e+11 1.988403e+00 -3.953771e-03
6.708832e+11 1.988079e+00 -3.061512e-03
6.724617e+11 1.987907e+00 -2.111572e-03
6.740403e+11 1.987893e+00 -1.105315e-03
6.756188e+11 1.988057e+00 -3.832009e-05
6.771974e+11 1.988440e+00 1.096934e-03
6.787759e+11 1.989124e+00 2.304248e-03
6.803544e+11 1.990269e+00 3.554947e-03
6.819330e+11 1.992187e+00 4.646706e-03
6.835115e+11 1.995043e+00 4.684544e-03
6.850901e+11 1.997412e+00 2.973260e-03
6.866686e+11 1.998471e+00 7.748115e-04
6.882472e+11 1.998677e+00 -1.252272e-03
6.898257e+11 1.998352e+00 -2.993754e-03
6.914043e+11 1.997667e+00 -4.427473e-03
6.929828e+11 1.996735e+00 -5.542526e-03
6.945614e+11 1.995647e+00 -6.333366e-03
6.961399e+11 1.994487e+00 -6.805285e-03
6.977185e+11 1.993330e+00 -6.978826e-03
6.992970e+11 1.992239e+00 -6.889358e-03
7.008756e+11 1.991259e+00 -6.581946e-03
7.024541e+11 1.990415e+00 -6.103865e-03
7.040327e+11 1.989719e+00 -5.497991e-03
7.056112e+11 1.989172e+00 -4.798729e-03
7.071898e+11 1.988768e+00 -4.030627e-03
7.087683e+11 1.988505e+00 -3.208948e-03
7.103469e+11 1.988380e+00 -2.341036e-03
7.119254e+11 1.988401e+00 -1.428070e-03
7.135040e+11 1.988585e+00 -4.670322e-04
7.150825e+11 1.988971e+00 5.470563e-04
7.166611e+11 1.989632e+00 1.611432e-03
7.182396e+11 1.990708e+00 2.686846e-03
7.198182e+11 1.992446e+00 3.590757e-03
7.213967e+11 1.994909e+00 3.535862e-03
7.229753e+11 1.996986e+00 2.065596e-03
7.245538e+11 1.997964e+00 1.127689e-04
7.261324e+11 1.998162e+00 -1.722022e-03
7.277109e+11 1.997863e+00 -3.303174e-03
7.292895e+11 1.997233e+00 -4.598568e-03
7.308680e+11 1.996380e+00 -5.596370e-03
7.324466e+11 1.995392e+00 -6.294195e-03
7.340251e+11 1.994349e+00 -6.701609e-03
7.356036e+11 1.993317e+00 -6.841825e-03
7.371822e+11 1.992352e+00 -6.750054e-03
7.387607e+11 1.991489e+00 -6.468155e-03
7.403393e+11 1.990749e+00 -6.038337e-03
7.419178e+11 1.990143e+00 -5.497833e-03
7.434964e+11 1.989668e+00 -4.876131e-03
7.450749e+11 1.989323e+00 -4.194206e-03
7.466535e+11 1.989103e+00 -3.465149e-03
7.482320e+11 1.989009e+00 -2.695859e-03
7.498106e+11 1.989050e+00 -1.888270e-03
7.513891e+11 1.989241e+00 -1.041837e-03
7.529677e+11 1.989621e+00 -1.568351e-04
7.545462e+11 1.990254e+00 7.556395e-04
7.561248e+11 1.991258e+00 1.642520e-03
7.577033e+11 1.992810e+00 2.298445e-03
7.592819e+11 1.994873e+00 2.159350e-03
7.608604e+11 1.996611e+00 8.997724e-04
7.624390e+11 1.997466e+00 -8.002876e-04
7.640175e+11 1.997633e+00 -2.434057e-03
7.655961e+11 1.997343e+00 -3.850666e-03
7.671746e+11 1.996747e+00 -5.005686e-03
7.687532e+11 1.995949e+00 -5.883446e-03
7.703317e+11 1.995036e+00 -6.482348e-03
7.719103e+11 1.994083e+00 -6.814491e-03
7.734888e+11 1.993151e+00 -6.905409e-03
7.750674e+11 1.992288e+00 -6.790663e-03
7.766459e+11 1.991524e+00 -6.510425e-03
7.782245e+11 1.990875e+00 -6.103466e-03
7.798030e+11 1.990347e+00 -5.602978e-03
7.813816e+11 1.989939e+00 -5.034524e-03
